feature,scale_factor,n_windows,median_relative_change_percent,q1_relative_change_percent,q3_relative_change_percent,max_absolute_difference,n_numerically_invariant,proportion_invariant
gigrid_sd,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_sd,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_kurtosis,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_skewness,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_fixed_r_sampen,7.1,60,0.0,0.0,0.0,0.0,60,1.0
rms,0.25,60,-75.0,-75.0,-75.0,0.03607135478764528,0,0.0
rms,0.5,60,-50.0,-50.0,-50.0,0.02404756985843019,0,0.0
rms,1.0,60,0.0,0.0,0.0,0.0,60,1.0
rms,2.0,60,100.0,100.0,100.0,0.04809513971686038,0,0.0
rms,4.0,60,300.0,300.0,300.0,0.14428541915058113,0,0.0
rms,1.3,60,30.000000000000007,29.999999999999996,30.00000000000001,0.014428541915058109,0,0.0
rms,7.1,60,610.0,609.9999999999999,610.0,0.29338035227284825,0,0.0
